harts	kernel_wait_s	mask	done	output_sum	output_match	gops
1	9.910940000	0x1	1	514785	True	0.047610
2	5.870580000	0x3	2	514785	True	0.080377
4	2.958400000	0xf	4	514785	True	0.159498
8	1.475340000	0xff	8	514785	True	0.319831
16	0.735235000	0xffff	16	514785	True	0.641780
