harts	kernel_wait_s	mask	done	output_sum	output_match	gops
1	9.910820000	0x1	1	514785	True	0.047611
2	5.688290000	0x3	2	514785	True	0.082953
4	3.018270000	0xf	4	514785	True	0.156334
8	1.466420000	0xff	8	514785	True	0.321776
16	0.738874000	0xffff	16	514785	True	0.638619
