harts	kernel_wait_s	mask	done	output_sum	output_match	gops
1	4.655950000	0x1	1	514785	True	0.101345
2	3.360020000	0x3	2	514785	True	0.140433
4	1.771180000	0xf	4	514785	True	0.266410
8	0.900100000	0xff	8	514785	True	0.524230
16	0.447692000	0xffff	16	514785	True	1.053982
