harts	kernel_wait_s	mask	done	output_sum	output_match	gops
1	6.853970000	0x1	1	514785	True	0.068845
2	4.701510000	0x3	2	514785	True	0.100363
4	2.334020000	0xf	4	514785	True	0.202166
8	1.203100000	0xff	8	514785	True	0.392203
16	0.751967000	0xffff	16	514785	True	0.627500
