harts	kernel_wait_s	mask	done	output_sum	output_match	gops
1	33.121900000	0x1	1	514785	True	0.014246
2	18.251300000	0x3	2	514785	True	0.025853
4	9.742270000	0xf	4	514785	True	0.048434
8	4.710640000	0xff	8	514785	True	0.100169
16	2.385090000	0xffff	16	514785	True	0.197837
