harts	kernel_wait_s	mask	done	output_sum	output_match	gops
1	4.655980000	0x1	1	514785	True	0.101345
2	3.360000000	0x3	2	514785	True	0.140434
4	1.771210000	0xf	4	514785	True	0.266405
8	0.900750000	0xff	8	514785	True	0.523851
16	0.447779000	0xffff	16	514785	True	1.053777
