timestamp	variant	onnx_node	act_name	weight_name	rows	k_dim	n_cols	tiles	tile_rows	active_harts	total_wait_s	ops	gops	max_abs	mean_abs	p99_abs	allclose_1e4	allclose_1e3	tile_ok	remote_work	local_run_dir
20260504-120513	opt100_i010_qkv_tr1024_ah16	_v_649	/encoder/blocks.0/attn_ln/LayerNormalization_output_0	_v_648	1500	384	1152	2	1024	16	1.6492749999999998	1327104000	0.8046590168407332	6.67572021484375e-06	2.188643009048974e-07	1.430511474609375e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i010_qkv_tr1024_ah16_20260504-120513	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i010_qkv_tr1024_ah16_20260504-120513
20260504-120746	opt100_i011_qkv_tr1280_ah16	_v_649	/encoder/blocks.0/attn_ln/LayerNormalization_output_0	_v_648	1500	384	1152	2	1280	16	1.658353	1327104000	0.800254228140812	6.67572021484375e-06	2.188643009048974e-07	1.430511474609375e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i011_qkv_tr1280_ah16_20260504-120746	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i011_qkv_tr1280_ah16_20260504-120746
20260504-121008	opt100_i012_scoreh0_tr768_ah16	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	2	768	16	0.9502459999999999	288000000	0.30307941312039205	7.62939453125e-06	4.467678706987499e-07	1.9073486328125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i012_scoreh0_tr768_ah16_20260504-121008	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i012_scoreh0_tr768_ah16_20260504-121008
20260504-121315	opt100_i013_scoreh0_tr1024_ah16	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	2	1024	16	0.934652	288000000	0.30813607631503487	7.62939453125e-06	4.467678706987499e-07	1.9073486328125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i013_scoreh0_tr1024_ah16_20260504-121315	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i013_scoreh0_tr1024_ah16_20260504-121315
20260504-121607	opt100_i014_scoreh0_tr1280_ah16	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	2	1280	16	0.972627	288000000	0.29610529010607356	7.62939453125e-06	4.467678706987499e-07	1.9073486328125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i014_scoreh0_tr1280_ah16_20260504-121607	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i014_scoreh0_tr1280_ah16_20260504-121607
20260504-121904	opt100_i015_valueh0_tr512_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	3	512	16	0.2618666	288768000	1.1027294049718444	4.291534423828125e-06	1.789141634844782e-07	1.1920928955078125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i015_valueh0_tr512_ah16_20260504-121904	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i015_valueh0_tr512_ah16_20260504-121904
20260504-121941	opt100_i016_valueh0_tr768_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	2	768	16	0.268014	288768000	1.0774362533300499	4.291534423828125e-06	1.789141634844782e-07	1.1920928955078125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i016_valueh0_tr768_ah16_20260504-121941	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i016_valueh0_tr768_ah16_20260504-121941
20260504-122014	opt100_i017_valueh0_tr1024_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	2	1024	16	0.2644756	288768000	1.0918511953465653	4.291534423828125e-06	1.789141634844782e-07	1.1920928955078125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i017_valueh0_tr1024_ah16_20260504-122014	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i017_valueh0_tr1024_ah16_20260504-122014
20260504-122049	opt100_i018_valueh0_tr1280_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	2	1280	16	0.2965379	288768000	0.9737979529766684	4.291534423828125e-06	1.789141634844782e-07	1.1920928955078125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i018_valueh0_tr1280_ah16_20260504-122049	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i018_valueh0_tr1280_ah16_20260504-122049
20260504-122127	opt100_i019_valueh0_tr1500_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	1	1500	16	0.266552	288768000	1.0833458387106454	4.291534423828125e-06	1.789141634844782e-07	1.1920928955078125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i019_valueh0_tr1500_ah16_20260504-122127	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i019_valueh0_tr1500_ah16_20260504-122127
