timestamp	step	index	op_type	node	elem_count	full_elem_count	tile_offset	src_count	original_src_count	compacted_source	wait_s	host_max_abs	audit_pass	mem_size	required_bytes	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req	report
20260505-163601	3	10	Split	Split_of_/encoder/blocks.1/attn/query/MatMul_and_/encoder/blocks.1/attn/key/MatMul_and_/encoder/blocks.1/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.136062	0.0	True	16777216	13846528	1599758	1951421	1951408	108024	599166	627849	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	11	Reshape	/encoder/blocks.1/attn/Reshape_1	576000	576000	0	576000	576000	False	0.136211	0.0	True	16777216	9238528	1589150	1951421	1951408	108024	596639	625104	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	12	Reshape	/encoder/blocks.1/attn/Reshape	576000	576000	0	576000	576000	False	0.136389	0.0	True	16777216	9238528	1619846	1951421	1951408	108024	597388	624893	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	13	Transpose	/encoder/blocks.1/attn/Transpose_1	576000	576000	0	576000	576000	False	0.147762	0.0	True	16777216	9238528	8436899	1951416	1951413	666035	638516	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	14	Reshape	/encoder/blocks.1/attn/Reshape_2	576000	576000	0	576000	576000	False	0.136373	0.0	True	16777216	9238528	1616650	1951421	1951408	108024	597041	624455	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	15	Transpose	/encoder/blocks.1/attn/Transpose	576000	576000	0	576000	576000	False	0.136465	0.0	True	16777216	9238528	1678880	1951421	1951408	108024	600271	627484	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	16	Transpose	/encoder/blocks.1/attn/Transpose_2	576000	576000	0	576000	576000	False	0.136455	0.0	True	16777216	9238528	1659379	1951421	1951408	108024	80761	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	17	Transpose	/encoder/blocks.1/attn/Transpose_3	576000	576000	0	576000	576000	False	0.136401	0.0	True	16777216	9238528	1637409	1951421	1951408	108024	600481	628257	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	18	Reshape	/encoder/blocks.1/attn/Reshape_3	576000	576000	0	576000	576000	False	0.136318	0.0	True	16777216	9238528	1618288	1951421	1951408	108024	596498	623695	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	19	Split	Split_of_/encoder/blocks.2/attn/query/MatMul_and_/encoder/blocks.2/attn/key/MatMul_and_/encoder/blocks.2/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.13599	0.0	True	16777216	13846528	1615716	1951421	1951408	108024	598697	626517	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
