index	op_type	node	case_label	elem_count	full_elem_count	tile_offset	rows	cols	required_bytes	wait_s	wall_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req
65	Erf	/encoder/blocks.3/mlp/1/Erf		2304000	2304000	0	1	2304000	36880384	0.714974	1.0247092247009277	1.4901161193847656e-06	1.0358458979453644e-08	0.0003	True	46621535	75604936	75827777	432091	35404893	35570575
66	Add	/encoder/blocks.3/mlp/1/Add		2304000	2304000	0	1	2304000	36880384	0.658917	0.9608364105224609	0.0	0.0	2e-06	True	12590722	20770209	20770382	432071	11611663	9
67	Mul	/encoder/blocks.3/mlp/1/Mul		2304000	2304000	0	1	2304000	36880384	0.656383	0.9735827445983887	0.0	0.0	2e-06	True	11076927	21922210	21922382	432071	7349598	7
68	Mul	/encoder/blocks.3/mlp/1/Mul_1		2304000	2304000	0	1	2304000	36880384	0.656369	0.9734818935394287	0.0	0.0	2e-06	True	11035598	21922210	21922382	432071	7346210	7
69	Add	/encoder/blocks.3/mlp/2/Add		576000	576000	0	1	576000	9238528	0.161279	0.46237635612487793	0.0	0.0	2e-06	True	2984586	5193144	5193187	108072	2831723	2881270
70	Add	/encoder/blocks.3/Add_1		576000	576000	0	1	576000	9238528	0.161416	0.4634363651275635	0.0	0.0	2e-06	True	2984352	5193144	5193187	108072	2829094	9
71	Add	/0/0_1/Add		96000	96000	0	1	96000	1555456	0.0263799	0.3168487548828125	0.0	0.0	2e-06	True	499526	866144	866187	18072	472096	10
72	Add	/0/1_1/Add		96000	96000	0	1	96000	1555456	0.0263228	0.3348240852355957	0.0	0.0	2e-06	True	499157	866144	866187	18072	472260	10
73	Add	/0/2_1/Add		96000	96000	0	1	96000	1555456	0.0263847	0.3228261470794678	0.0	0.0	2e-06	True	499267	866144	866187	18072	471618	10
74	Add	/0/3_1/Add		96000	96000	0	1	96000	1555456	0.0263247	0.3271477222442627	0.0	0.0	2e-06	True	499942	866144	866187	18072	472428	9
75	Add	/0/4_1/Add		96000	96000	0	1	96000	1555456	0.0264686	0.3273172378540039	0.0	0.0	2e-06	True	499177	866149	866182	18072	471815	9
76	Add	/0/5_1/Add		96000	96000	0	1	96000	1555456	0.0264576	0.32058238983154297	0.0	0.0	2e-06	True	499077	866144	866187	18072	472287	9
77	Add	/1/0_1/Add		96000	96000	0	1	96000	1555456	0.0263509	0.3385045528411865	0.0	0.0	2e-06	True	498961	866149	866182	18072	471851	9
78	Add	/1/1_1/Add		96000	96000	0	1	96000	1555456	0.0262969	0.31835079193115234	0.0	0.0	2e-06	True	499245	866149	866182	18072	472047	9
79	Add	/1/2_1/Add		96000	96000	0	1	96000	1555456	0.0263724	0.3191375732421875	0.0	0.0	2e-06	True	498990	866144	866187	18072	472547	488515
80	Add	/1/3_1/Add		96000	96000	0	1	96000	1555456	0.0264523	0.32273221015930176	0.0	0.0	2e-06	True	499446	866144	866187	18072	472052	488014
81	Add	/1/4_1/Add		96000	96000	0	1	96000	1555456	0.0264926	0.3243377208709717	0.0	0.0	2e-06	True	498996	866149	866182	18072	472336	10
82	Add	/1/5_1/Add		96000	96000	0	1	96000	1555456	0.0263907	0.3169701099395752	0.0	0.0	2e-06	True	499182	866149	866182	18072	472224	10
83	Add	/2/0_1/Add		96000	96000	0	1	96000	1555456	0.0264495	0.3166525363922119	0.0	0.0	2e-06	True	499442	866144	866187	18072	472980	10
84	Add	/2/1_1/Add		96000	96000	0	1	96000	1555456	0.0264603	0.32167887687683105	0.0	0.0	2e-06	True	499349	866144	866187	18072	471485	487002
85	Add	/2/2_1/Add		96000	96000	0	1	96000	1555456	0.0263874	0.32462310791015625	0.0	0.0	2e-06	True	499396	866149	866182	18072	472616	9
86	Add	/2/3_1/Add		96000	96000	0	1	96000	1555456	0.026339	0.32839417457580566	0.0	0.0	2e-06	True	499076	866149	866182	18072	472059	10
87	Add	/2/4_1/Add		96000	96000	0	1	96000	1555456	0.0263653	0.32214879989624023	0.0	0.0	2e-06	True	499664	866144	866187	18072	471921	9
88	Add	/2/5_1/Add		96000	96000	0	1	96000	1555456	0.0263892	0.3157784938812256	0.0	0.0	2e-06	True	499165	866144	866187	18072	472144	10
89	Add	/3/0_1/Add		96000	96000	0	1	96000	1555456	0.026363	0.31860876083374023	0.0	0.0	2e-06	True	499122	866144	866187	18072	472314	10
90	Add	/3/1_1/Add		96000	96000	0	1	96000	1555456	0.0263944	0.326401948928833	0.0	0.0	2e-06	True	499192	866144	866187	18072	472033	10
91	Add	/3/2_1/Add		96000	96000	0	1	96000	1555456	0.0262893	0.31791043281555176	0.0	0.0	2e-06	True	498733	866149	866182	18072	472055	9
92	Add	/3/3_1/Add		96000	96000	0	1	96000	1555456	0.0263393	0.3174433708190918	0.0	0.0	2e-06	True	499416	866149	866182	18072	472224	10
93	Add	/3/4_1/Add		96000	96000	0	1	96000	1555456	0.0264047	0.3185276985168457	0.0	0.0	2e-06	True	499082	866149	866182	18072	472367	9
94	Add	/3/5_1/Add		96000	96000	0	1	96000	1555456	0.0264558	0.3266124725341797	0.0	0.0	2e-06	True	499177	866144	866187	18072	471717	9
