variant	wait_s	gops	valid	passes	harts	mask	tokens	dim	hidden	output_sum	slot_sum	ops	log	dump
w10_07_oc2_prefb_skipread	0.234311	2.291275	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_07_oc2_prefb_skipread_20260502-051324.log	dump_w10_07_oc2_prefb_skipread_20260502-051324.bin
w10_03_oc2_prefb	0.236480	2.270259	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_03_oc2_prefb_20260502-051324.log	dump_w10_03_oc2_prefb_20260502-051324.bin
w10_08_oc2_unroll	0.237162	2.263731	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_08_oc2_unroll_20260502-051324.log	dump_w10_08_oc2_unroll_20260502-051324.bin
w10_04_oc2_prefa	0.241877	2.219603	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_04_oc2_prefa_20260502-051324.log	dump_w10_04_oc2_prefa_20260502-051324.bin
w10_01_oc2	0.243994	2.200345	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_01_oc2_20260502-051324.log	dump_w10_01_oc2_20260502-051324.bin
w10_09_oc2_ofast	0.244030	2.200020	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_09_oc2_ofast_20260502-051324.log	dump_w10_09_oc2_ofast_20260502-051324.bin
w10_05_oc2_skipread	0.244169	2.198768	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_05_oc2_skipread_20260502-051324.log	dump_w10_05_oc2_skipread_20260502-051324.bin
w10_02_oc2_prefstatic	0.244226	2.198255	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_02_oc2_prefstatic_20260502-051324.log	dump_w10_02_oc2_prefstatic_20260502-051324.bin
w10_06_oc2_lastout	0.244271	2.197850	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_06_oc2_lastout_20260502-051324.log	dump_w10_06_oc2_lastout_20260502-051324.bin
w10_00_base	0.287087	1.870063	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w10_00_base_20260502-051324.log	dump_w10_00_base_20260502-051324.bin
