variant	wait_s	gops	valid	passes	harts	mask	tokens	dim	hidden	output_sum	slot_sum	ops	log	dump
w100_o04_o3_align32_m00_base	0.241507	2.223004	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o04_o3_align32_m00_base_20260502-051633.log	dump_w100_o04_o3_align32_m00_base_20260502-051633.bin
w100_o05_o3_align64_m00_base	0.241565	2.222470	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m00_base_20260502-051633.log	dump_w100_o05_o3_align64_m00_base_20260502-051633.bin
w100_o04_o3_align32_m01_prefstatic	0.241576	2.222369	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o04_o3_align32_m01_prefstatic_20260502-051633.log	dump_w100_o04_o3_align32_m01_prefstatic_20260502-051633.bin
w100_o05_o3_align64_m08_lastout	0.241619	2.221973	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m08_lastout_20260502-051633.log	dump_w100_o05_o3_align64_m08_lastout_20260502-051633.bin
w100_o04_o3_align32_m08_lastout	0.241658	2.221614	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o04_o3_align32_m08_lastout_20260502-051633.log	dump_w100_o04_o3_align32_m08_lastout_20260502-051633.bin
w100_o07_o3_notreecopy_m03_prefa	0.241719	2.221054	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o07_o3_notreecopy_m03_prefa_20260502-051633.log	dump_w100_o07_o3_notreecopy_m03_prefa_20260502-051633.bin
w100_o08_ofast_m03_prefa	0.241734	2.220916	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o08_ofast_m03_prefa_20260502-051633.log	dump_w100_o08_ofast_m03_prefa_20260502-051633.bin
w100_o03_o3_nounroll_m03_prefa	0.241808	2.220236	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o03_o3_nounroll_m03_prefa_20260502-051633.log	dump_w100_o03_o3_nounroll_m03_prefa_20260502-051633.bin
w100_o00_o3_m03_prefa	0.241815	2.220172	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o00_o3_m03_prefa_20260502-051633.log	dump_w100_o00_o3_m03_prefa_20260502-051633.bin
w100_o05_o3_align64_m06_skipread	0.241817	2.220154	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m06_skipread_20260502-051633.log	dump_w100_o05_o3_align64_m06_skipread_20260502-051633.bin
w100_o06_o3_noipa_m06_skipread	0.241914	2.219264	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o06_o3_noipa_m06_skipread_20260502-051633.log	dump_w100_o06_o3_noipa_m06_skipread_20260502-051633.bin
w100_o05_o3_align64_m01_prefstatic	0.241918	2.219227	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m01_prefstatic_20260502-051633.log	dump_w100_o05_o3_align64_m01_prefstatic_20260502-051633.bin
w100_o06_o3_noipa_m09_prefb_lastout	0.242082	2.217723	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o06_o3_noipa_m09_prefb_lastout_20260502-051633.log	dump_w100_o06_o3_noipa_m09_prefb_lastout_20260502-051633.bin
w100_o06_o3_noipa_m00_base	0.242310	2.215637	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o06_o3_noipa_m00_base_20260502-051633.log	dump_w100_o06_o3_noipa_m00_base_20260502-051633.bin
w100_o08_ofast_m06_skipread	0.243660	2.203361	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o08_ofast_m06_skipread_20260502-051633.log	dump_w100_o08_ofast_m06_skipread_20260502-051633.bin
w100_o08_ofast_m00_base	0.243799	2.202105	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o08_ofast_m00_base_20260502-051633.log	dump_w100_o08_ofast_m00_base_20260502-051633.bin
w100_o06_o3_noipa_m01_prefstatic	0.243868	2.201482	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o06_o3_noipa_m01_prefstatic_20260502-051633.log	dump_w100_o06_o3_noipa_m01_prefstatic_20260502-051633.bin
w100_o08_ofast_m01_prefstatic	0.243980	2.200471	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o08_ofast_m01_prefstatic_20260502-051633.log	dump_w100_o08_ofast_m01_prefstatic_20260502-051633.bin
w100_o07_o3_notreecopy_m00_base	0.244034	2.199984	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o07_o3_notreecopy_m00_base_20260502-051633.log	dump_w100_o07_o3_notreecopy_m00_base_20260502-051633.bin
