label	stamp	input_h	input_w	kernel_wait_s	ops	tile_gops	cycles_max_t0	cycles_min_t0	freq_mhz_implied	cycles_per_op	sc_reads	sc_writes	sc_cycles	ms_reads	ms_writes	ms_cycles	sc_reads_per_kop	sc_writes_per_kop	ms_reads_per_kop	ms_writes_per_kop	sc_read_GBs	sc_write_GBs	ms_read_GBs	ms_write_GBs
tg01_h20_t64_boundary_t06	20260505-155022Z	104	104	4.82452	14378876928	2.9803746130184976	4033248151	0	835.9895183355029	0.28049813425595516	803715006	16469590	16131493424	289027	303122	39374924662	55.89553412442978	1.1454016946155754	0.020100804913155454	0.02108106227752254	10.661736376675815	0.21847847246980012	0.0038341074345219837	0.004021085620952966
tg02_h24_t64_boundary_t06	20260505-155037Z	112	112	5.06137	16676093952	3.29477867691949	4250370686	0	839.7668390178944	0.25487807266102885	933731542	19096504	16999908396	247556	281171	40989024808	55.9922212412347	1.1451425048915436	0.014844963137804226	0.01686072294922988	11.806846503614633	0.24147143085765316	0.0031302955523899653	0.0035553504288364612
tg09_h20_t64_skip_read_t06	20260505-155048Z	104	104	4.56241	14378876928	3.1515968376362498	3878172270	0	850.0271282063646	0.26971315558366254	809023619	22378485	15511248153	243045	280124	37274695324	56.26472937010731	1.5563444288491235	0.016902919554636305	0.019481632773037667	11.348719561810535	0.3139180915349563	0.0034093560201735487	0.0039294881433277595
