variant	tag	harts	hart	minion	thread	cycles	retired_inst0	retired_inst1	l2_miss_req	minion_icache_req	icache_etlink_req
window_o3	dncnn3_bench_window_16h	16	10	5	0	0	0	0	0	0	0
window_o3	dncnn3_bench_window_16h	16	11	5	1	801368207	500	996	31	18446744073709550750	18446744073709551584
window_o3	dncnn3_bench_window_16h	16	12	6	0	801368211	1565	1336	76	0	0
window_o3	dncnn3_bench_window_16h	16	13	6	1	801368199	636	1000	31	18446744073709550753	18446744073709551584
window_o3	dncnn3_bench_window_16h	16	14	7	0	0	0	0	0	0	0
window_o3	dncnn3_bench_window_16h	16	15	7	1	801368199	515	1011	31	18446744073709550766	18446744073709551584
window_no_prebar_o3	dncnn3_bench_noprebar_1h	1	0	0	0	6314480652	18446744073709550960	499	48	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_2h	2	0	0	0	3781972237	18446744073709551359	18446744073709551450	18446744073709551601	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_2h	2	1	0	1	3781972255	18446744073709551380	18446744073709551522	18446744073709551595	111	6
window_no_prebar_o3	dncnn3_bench_noprebar_4h	4	0	0	0	2165003512	1396	980	86	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_4h	4	1	0	1	2165003530	204	18446744073709550838	18	788	18446744073709551555
window_no_prebar_o3	dncnn3_bench_noprebar_4h	4	2	1	0	0	0	0	0	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_4h	4	3	1	1	2165003532	87	18446744073709550858	18	794	18446744073709551555
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	0	0	0	1235930928	727	821	76	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	1	0	1	1235930916	416	18446744073709550716	24	18446744073709551363	18446744073709551565
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	2	1	0	0	0	0	0	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	3	1	1	1235930944	412	18446744073709550702	24	18446744073709551359	18446744073709551565
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	4	2	0	1235930925	727	821	76	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	5	2	1	1235930915	423	18446744073709550712	24	18446744073709551361	18446744073709551565
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	6	3	0	0	0	0	0	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	7	3	1	1235930929	424	18446744073709550713	24	18446744073709551358	18446744073709551565
