exp_id	batch	variant	tile	harts	passes	wait_s	gops	ops	allclose	bit_exact	max_abs	mean_abs	output_hash	reference_hash	done_count	magic_ok	status	flags	macros	dump	log	build_at	run_at
6	1_compile	o3_unroll_inline600	64	16	8	26.706300	1.631152	43562041344	True	False	0.000002	0.000000	0xa91ccf40	0xf03a7637	16	True	ok	-O3 -funroll-loops -finline-limit=600		/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/dump_e006_o3_unroll_inline600_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/run_e006_o3_unroll_inline600_t64_h16_p8.log	2026-05-02T16:50:41	2026-05-02T16:54:04
7	1_compile	o3_unroll_rename	64	16	8	26.707300	1.631091	43562041344	True	False	0.000002	0.000000	0xa91ccf40	0xf03a7637	16	True	ok	-O3 -funroll-loops -frename-registers		/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/dump_e007_o3_unroll_rename_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/run_e007_o3_unroll_rename_t64_h16_p8.log	2026-05-02T16:50:41	2026-05-02T16:54:04
8	1_compile	o3_unroll_rename_noipa	64	16	8	26.710900	1.630871	43562041344	True	False	0.000002	0.000000	0xa91ccf40	0xf03a7637	16	True	ok	-O3 -funroll-loops -frename-registers -fno-ipa-cp -fno-ipa-sra		/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/dump_e008_o3_unroll_rename_noipa_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/run_e008_o3_unroll_rename_noipa_t64_h16_p8.log	2026-05-02T16:50:41	2026-05-02T16:54:04
9	1_compile	o3_unroll_no_distrib	64	16	8	26.713100	1.630737	43562041344	True	False	0.000002	0.000000	0xa91ccf40	0xf03a7637	16	True	ok	-O3 -funroll-loops -fno-tree-loop-distribute-patterns		/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/dump_e009_o3_unroll_no_distrib_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/run_e009_o3_unroll_no_distrib_t64_h16_p8.log	2026-05-02T16:50:41	2026-05-02T16:54:04
10	1_compile	o3_unroll_no_vec	64	16	8	30.761700	1.416113	43562041344	True	False	0.000002	0.000000	0xa91ccf40	0xf03a7637	16	True	ok	-O3 -funroll-loops -fno-tree-loop-vectorize		/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/dump_e010_o3_unroll_no_vec_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-165041/run_e010_o3_unroll_no_vec_t64_h16_p8.log	2026-05-02T16:50:41	2026-05-02T16:54:04
11	2_fused64x2	fused_o3_unroll	64	16	8	21.296700	2.045483	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3 -funroll-loops	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e011_fused_o3_unroll_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e011_fused_o3_unroll_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
12	2_fused64x2	fused_o3_unroll_rename	64	16	8	21.291400	2.045992	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3 -funroll-loops -frename-registers	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e012_fused_o3_unroll_rename_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e012_fused_o3_unroll_rename_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
13	2_fused64x2	fused_o3_unroll_noipa	64	16	8	21.283300	2.046771	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3 -funroll-loops -fno-ipa-cp -fno-ipa-sra	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e013_fused_o3_unroll_noipa_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e013_fused_o3_unroll_noipa_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
14	2_fused64x2	fused_o3_unroll_align64	64	16	8	21.714200	2.006155	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3 -funroll-loops -falign-functions=64 -falign-loops=64	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e014_fused_o3_unroll_align64_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e014_fused_o3_unroll_align64_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
15	2_fused64x2	fused_o3_unroll_inline2k	64	16	8	21.306500	2.044542	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3 -funroll-loops -finline-limit=2000	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e015_fused_o3_unroll_inline2k_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e015_fused_o3_unroll_inline2k_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
16	2_fused64x2	fused_o3	64	16	8	26.410500	1.649421	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e016_fused_o3_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e016_fused_o3_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
