timestamp	iteration	variant	kind	rc	pass	token_sequence_match	text_match	silicon_argmax_match	silicon_audit_pass	generated_nonprompt_tokens	host_tokens_per_s_wall	hybrid_tokens_per_s_wall	silicon_tokens_per_s	silicon_wait_s	report	log
20260505-211140	0	native_split_smoke	smoke	0	True											local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_smoke_runs_v2/overnight_20260505-211115/split_smoke_i0000.log
20260505-211610	0	tail_parallel_tile8192	e2e	0	True	True	True	True	True	1	14.885296804843836	0.022717142560693855	4.138839866630024	0.2416136	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_smoke_runs_v2/overnight_20260505-211115/e2e/both_20260505-211142/e2e_audit_report.json	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_smoke_runs_v2/overnight_20260505-211115/tail_parallel_tile8192_i0000.log
