index	op_type	node	case_label	elem_count	full_elem_count	tile_offset	rows	cols	required_bytes	wait_s	wall_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req
38	Mul	/encoder/blocks.1/mlp/1/Mul_1		2304000	2304000	0	1	2304000	36880384	0.726944	1.042680025100708	0.0	0.0	2e-06	True	23184708	23074045	23074032	432035	9384864	9
39	Add	/encoder/blocks.1/mlp/2/Add		576000	576000	0	1	576000	9238528	0.179179	0.4856264591217041	0.0	0.0	2e-06	True	6154601	5480845	5480832	108036	4579198	4628880
40	Add	/encoder/blocks.1/Add_1		576000	576000	0	1	576000	9238528	0.179237	0.48651623725891113	0.0	0.0	2e-06	True	6154659	5480845	5480832	108036	4579404	11
41	Add	/encoder/blocks.2/attn/query/Add		576000	576000	0	1	576000	9238528	0.179202	0.48804688453674316	0.0	0.0	2e-06	True	6155607	5480840	5480837	108036	4579350	11
42	Add	/encoder/blocks.2/attn/value/Add		576000	576000	0	1	576000	9238528	0.179142	0.4753725528717041	0.0	0.0	2e-06	True	6153408	5480845	5480832	108036	4579385	11
43	Mul	/encoder/blocks.2/attn/Mul_1		576000	576000	0	1	576000	9238528	0.177652	0.4825596809387207	0.0	0.0	2e-06	True	5211088	5768840	5768837	108036	2343375	9
44	Mul	/encoder/blocks.2/attn/Mul		576000	576000	0	1	576000	9238528	0.177698	0.4853804111480713	0.0	0.0	2e-06	True	5212407	5768845	5768832	108036	2343641	9
45	Softmax	/encoder/blocks.2/attn/Softmax		13500000	13500000	0	9000	1500	216021376	5.27393	5.668197154998779	1.3172626495361328e-05	5.492712396026889e-10	0.0005	True	585733033	452632754	452641288	3420020	2507921	16
46	Add	/encoder/blocks.2/attn/out/Add		576000	576000	0	1	576000	9238528	0.179294	0.4862508773803711	0.0	0.0	2e-06	True	6156306	5480840	5480837	108036	4579567	4628887
47	Add	/encoder/blocks.2/Add		576000	576000	0	1	576000	9238528	0.179196	0.4790358543395996	0.0	0.0	2e-06	True	6154512	5480840	5480837	108036	4579445	4628485
48	Add	/encoder/blocks.2/mlp/0/Add		2304000	2304000	0	1	2304000	36880384	0.732477	1.0448243618011475	0.0	0.0	2e-06	True	26501649	21922040	21922037	432036	18346172	11
49	Div	/encoder/blocks.2/mlp/1/Div		2304000	2304000	0	1	2304000	36880384	0.804734	1.130812644958496	0.0	0.0	2e-06	True	69816391	71020087	71020538	432028	38329073	14
50	Erf	/encoder/blocks.2/mlp/1/Erf		2304000	2304000	0	1	2304000	36880384	0.867644	1.178842306137085	1.5497207641601562e-06	1.024538676119846e-07	0.0003	True	113713779	97836966	97863739	432036	55071796	17
51	Add	/encoder/blocks.2/mlp/1/Add		2304000	2304000	0	1	2304000	36880384	0.73244	1.0405712127685547	0.0	0.0	2e-06	True	26531925	21922045	21922032	432035	18345178	11
52	Mul	/encoder/blocks.2/mlp/1/Mul		2304000	2304000	0	1	2304000	36880384	0.726866	1.0353384017944336	0.0	0.0	2e-06	True	23180343	23074045	23074032	432035	9384452	9
53	Mul	/encoder/blocks.2/mlp/1/Mul_1		2304000	2304000	0	1	2304000	36880384	0.7271	1.0391652584075928	0.0	0.0	2e-06	True	23196718	23074045	23074032	432035	9384472	9
54	Add	/encoder/blocks.2/mlp/2/Add		576000	576000	0	1	576000	9238528	0.179166	0.48171401023864746	0.0	0.0	2e-06	True	6154094	5480845	5480832	108036	4579419	11
55	Add	/encoder/blocks.2/Add_1		576000	576000	0	1	576000	9238528	0.179218	0.48296618461608887	0.0	0.0	2e-06	True	6153849	5480840	5480837	108036	4579658	11
56	Add	/encoder/blocks.3/attn/query/Add		576000	576000	0	1	576000	9238528	0.179237	0.4789290428161621	0.0	0.0	2e-06	True	6155207	5480845	5480832	108036	4579370	4627812
57	Add	/encoder/blocks.3/attn/value/Add		576000	576000	0	1	576000	9238528	0.17914	0.47893595695495605	0.0	0.0	2e-06	True	6152684	5480845	5480832	108036	4579817	11
58	Mul	/encoder/blocks.3/attn/Mul_1		576000	576000	0	1	576000	9238528	0.177742	0.4848184585571289	0.0	0.0	2e-06	True	5212979	5768845	5768832	108036	2343573	9
59	Mul	/encoder/blocks.3/attn/Mul		576000	576000	0	1	576000	9238528	0.177598	0.4793522357940674	0.0	0.0	2e-06	True	5211890	5768840	5768837	108036	59434	9
60	Softmax	/encoder/blocks.3/attn/Softmax		13500000	13500000	0	9000	1500	216021376	5.29236	5.7016215324401855	8.344650268554688e-06	7.665947876489554e-10	0.0005	True	588669307	452702146	452672827	3420020	2508284	16
61	Add	/encoder/blocks.3/attn/out/Add		576000	576000	0	1	576000	9238528	0.179249	0.48621129989624023	0.0	0.0	2e-06	True	6156342	5480840	5480837	108036	59508	11
62	Add	/encoder/blocks.3/Add		576000	576000	0	1	576000	9238528	0.179314	0.4817688465118408	0.0	0.0	2e-06	True	6153886	5480840	5480837	108036	4580043	11
63	Add	/encoder/blocks.3/mlp/0/Add		2304000	2304000	0	1	2304000	36880384	0.732527	1.044011116027832	0.0	0.0	2e-06	True	26556165	21922045	21922032	432035	18344302	11
64	Div	/encoder/blocks.3/mlp/1/Div		2304000	2304000	0	1	2304000	36880384	0.804701	1.118642807006836	0.0	0.0	2e-06	True	69832006	71021701	71031736	432028	38316178	14
65	Erf	/encoder/blocks.3/mlp/1/Erf		2304000	2304000	0	1	2304000	36880384	0.840611	1.1597483158111572	1.4901161193847656e-06	1.0358458979453644e-08	0.0003	True	91739306	74869817	75003972	432040	48742139	17
66	Add	/encoder/blocks.3/mlp/1/Add		2304000	2304000	0	1	2304000	36880384	0.732438	1.042478322982788	0.0	0.0	2e-06	True	26507397	21922040	21922037	432036	18345280	11
67	Mul	/encoder/blocks.3/mlp/1/Mul		2304000	2304000	0	1	2304000	36880384	0.726484	1.036764144897461	0.0	0.0	2e-06	True	22878300	23074040	23074037	432036	9386483	9
68	Mul	/encoder/blocks.3/mlp/1/Mul_1		2304000	2304000	0	1	2304000	36880384	0.726546	1.0361759662628174	0.0	0.0	2e-06	True	22897970	23074040	23074037	432036	9385859	9
69	Add	/encoder/blocks.3/mlp/2/Add		576000	576000	0	1	576000	9238528	0.179145	0.47938060760498047	0.0	0.0	2e-06	True	6154037	5480845	5480832	108036	4579532	11
