index	op_type	node	case_label	elem_count	full_elem_count	tile_offset	rows	cols	required_bytes	wait_s	wall_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req
76	Add	/0/5_1/Add		96000	96000	0	1	96000	1555456	0.0279652	0.32916831970214844	0.0	0.0	2e-06	True	556779	914263	914269	18072	528223	543706
77	Add	/1/0_1/Add		96000	96000	0	1	96000	1555456	0.0278933	0.32653188705444336	0.0	0.0	2e-06	True	556901	914264	914269	18072	527843	541863
78	Add	/1/1_1/Add		96000	96000	0	1	96000	1555456	0.0279449	0.327862024307251	0.0	0.0	2e-06	True	556983	914269	914264	18072	528378	542621
79	Add	/1/2_1/Add		96000	96000	0	1	96000	1555456	0.0280114	0.32036423683166504	0.0	0.0	2e-06	True	556678	914269	914264	18072	528295	11
80	Add	/1/3_1/Add		96000	96000	0	1	96000	1555456	0.0279644	0.3209803104400635	0.0	0.0	2e-06	True	557259	914269	914264	18072	528406	11
81	Add	/1/4_1/Add		96000	96000	0	1	96000	1555456	0.0279881	0.317777156829834	0.0	0.0	2e-06	True	556594	914269	914264	18072	527996	11
82	Add	/1/5_1/Add		96000	96000	0	1	96000	1555456	0.0278623	0.3255763053894043	0.0	0.0	2e-06	True	557211	914264	914269	18072	528715	544569
83	Add	/2/0_1/Add		96000	96000	0	1	96000	1555456	0.0279873	0.3281683921813965	0.0	0.0	2e-06	True	557254	914264	914269	18072	528348	542407
84	Add	/2/1_1/Add		96000	96000	0	1	96000	1555456	0.027903	0.32201480865478516	0.0	0.0	2e-06	True	557344	914269	914264	18072	528661	11
85	Add	/2/2_1/Add		96000	96000	0	1	96000	1555456	0.0280436	0.32105112075805664	0.0	0.0	2e-06	True	556940	914264	914269	18072	528245	543621
86	Add	/2/3_1/Add		96000	96000	0	1	96000	1555456	0.0280655	0.3282656669616699	0.0	0.0	2e-06	True	556657	914264	914269	18072	528080	11
87	Add	/2/4_1/Add		96000	96000	0	1	96000	1555456	0.0279154	0.3218841552734375	0.0	0.0	2e-06	True	556497	914264	914269	18073	527869	542847
88	Add	/2/5_1/Add		96000	96000	0	1	96000	1555456	0.0278915	0.3210597038269043	0.0	0.0	2e-06	True	556412	914264	914269	18072	528102	11
89	Add	/3/0_1/Add		96000	96000	0	1	96000	1555456	0.0279424	0.3196079730987549	0.0	0.0	2e-06	True	557125	914269	914264	18072	527761	11
90	Add	/3/1_1/Add		96000	96000	0	1	96000	1555456	0.027905	0.32256221771240234	0.0	0.0	2e-06	True	556722	914264	914269	18072	527806	542124
91	Add	/3/2_1/Add		96000	96000	0	1	96000	1555456	0.0279733	0.32172441482543945	0.0	0.0	2e-06	True	556720	914264	914269	18072	528357	544057
92	Add	/3/3_1/Add		96000	96000	0	1	96000	1555456	0.0279882	0.32491254806518555	0.0	0.0	2e-06	True	556541	914264	914269	18072	528012	542250
93	Add	/3/4_1/Add		96000	96000	0	1	96000	1555456	0.0279756	0.322495698928833	0.0	0.0	2e-06	True	556985	914264	914269	18072	527847	10
94	Add	/3/5_1/Add		96000	96000	0	1	96000	1555456	0.0279899	0.3288106918334961	0.0	0.0	2e-06	True	556595	914264	914269	18072	528336	542388
