variant	wait_s	gops	valid	passes	harts	mask	tokens	dim	hidden	output_sum	slot_sum	ops	log	dump
d100_o02_o3_unroll_m07_prefb_skipread	0.214204	2.349706	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o02_o3_unroll_m07_prefb_skipread_20260502-050337.log	dump_d100_o02_o3_unroll_m07_prefb_skipread_20260502-050337.bin
d100_o02_o3_unroll_m04_prefa_prefb	0.214367	2.347920	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o02_o3_unroll_m04_prefa_prefb_20260502-050337.log	dump_d100_o02_o3_unroll_m04_prefa_prefb_20260502-050337.bin
d100_o02_o3_unroll_m02_prefb	0.214445	2.347066	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o02_o3_unroll_m02_prefb_20260502-050337.log	dump_d100_o02_o3_unroll_m02_prefb_20260502-050337.bin
d100_o02_o3_unroll_m05_prefb_static	0.214553	2.345884	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o02_o3_unroll_m05_prefb_static_20260502-050337.log	dump_d100_o02_o3_unroll_m05_prefb_static_20260502-050337.bin
d100_o04_o3_align32_m02_prefb	0.216435	2.325486	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o04_o3_align32_m02_prefb_20260502-050337.log	dump_d100_o04_o3_align32_m02_prefb_20260502-050337.bin
d100_o04_o3_align32_m07_prefb_skipread	0.216493	2.324863	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o04_o3_align32_m07_prefb_skipread_20260502-050337.log	dump_d100_o04_o3_align32_m07_prefb_skipread_20260502-050337.bin
d100_o04_o3_align32_m05_prefb_static	0.216507	2.324712	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o04_o3_align32_m05_prefb_static_20260502-050337.log	dump_d100_o04_o3_align32_m05_prefb_static_20260502-050337.bin
d100_o05_o3_align64_m05_prefb_static	0.216743	2.322181	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o05_o3_align64_m05_prefb_static_20260502-050337.log	dump_d100_o05_o3_align64_m05_prefb_static_20260502-050337.bin
d100_o04_o3_align32_m04_prefa_prefb	0.216762	2.321977	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o04_o3_align32_m04_prefa_prefb_20260502-050337.log	dump_d100_o04_o3_align32_m04_prefa_prefb_20260502-050337.bin
d100_o05_o3_align64_m07_prefb_skipread	0.216843	2.321110	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o05_o3_align64_m07_prefb_skipread_20260502-050337.log	dump_d100_o05_o3_align64_m07_prefb_skipread_20260502-050337.bin
d100_o05_o3_align64_m02_prefb	0.216979	2.319655	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o05_o3_align64_m02_prefb_20260502-050337.log	dump_d100_o05_o3_align64_m02_prefb_20260502-050337.bin
d100_o05_o3_align64_m04_prefa_prefb	0.217125	2.318095	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o05_o3_align64_m04_prefa_prefb_20260502-050337.log	dump_d100_o05_o3_align64_m04_prefa_prefb_20260502-050337.bin
d100_o07_o3_notreecopy_m04_prefa_prefb	0.217321	2.316005	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o07_o3_notreecopy_m04_prefa_prefb_20260502-050337.log	dump_d100_o07_o3_notreecopy_m04_prefa_prefb_20260502-050337.bin
d100_o06_o3_noipa_m04_prefa_prefb	0.217349	2.315706	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o06_o3_noipa_m04_prefa_prefb_20260502-050337.log	dump_d100_o06_o3_noipa_m04_prefa_prefb_20260502-050337.bin
d100_o03_o3_nounroll_m04_prefa_prefb	0.217427	2.314876	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o03_o3_nounroll_m04_prefa_prefb_20260502-050337.log	dump_d100_o03_o3_nounroll_m04_prefa_prefb_20260502-050337.bin
d100_o00_o3_m04_prefa_prefb	0.217512	2.313971	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o00_o3_m04_prefa_prefb_20260502-050337.log	dump_d100_o00_o3_m04_prefa_prefb_20260502-050337.bin
d100_o00_o3_m02_prefb	0.217539	2.313684	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o00_o3_m02_prefb_20260502-050337.log	dump_d100_o00_o3_m02_prefb_20260502-050337.bin
d100_o03_o3_nounroll_m02_prefb	0.217549	2.313578	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o03_o3_nounroll_m02_prefb_20260502-050337.log	dump_d100_o03_o3_nounroll_m02_prefb_20260502-050337.bin
d100_o06_o3_noipa_m02_prefb	0.217552	2.313546	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o06_o3_noipa_m02_prefb_20260502-050337.log	dump_d100_o06_o3_noipa_m02_prefb_20260502-050337.bin
d100_o07_o3_notreecopy_m02_prefb	0.217656	2.312440	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o07_o3_notreecopy_m02_prefb_20260502-050337.log	dump_d100_o07_o3_notreecopy_m02_prefb_20260502-050337.bin
d100_o07_o3_notreecopy_m07_prefb_skipread	0.217709	2.311877	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o07_o3_notreecopy_m07_prefb_skipread_20260502-050337.log	dump_d100_o07_o3_notreecopy_m07_prefb_skipread_20260502-050337.bin
d100_o03_o3_nounroll_m07_prefb_skipread	0.217763	2.311304	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o03_o3_nounroll_m07_prefb_skipread_20260502-050337.log	dump_d100_o03_o3_nounroll_m07_prefb_skipread_20260502-050337.bin
d100_o00_o3_m07_prefb_skipread	0.217886	2.309999	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o00_o3_m07_prefb_skipread_20260502-050337.log	dump_d100_o00_o3_m07_prefb_skipread_20260502-050337.bin
d100_o06_o3_noipa_m07_prefb_skipread	0.217887	2.309989	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o06_o3_noipa_m07_prefb_skipread_20260502-050337.log	dump_d100_o06_o3_noipa_m07_prefb_skipread_20260502-050337.bin
d100_o06_o3_noipa_m05_prefb_static	0.219078	2.297431	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o06_o3_noipa_m05_prefb_static_20260502-050337.log	dump_d100_o06_o3_noipa_m05_prefb_static_20260502-050337.bin
d100_o03_o3_nounroll_m05_prefb_static	0.219185	2.296309	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o03_o3_nounroll_m05_prefb_static_20260502-050337.log	dump_d100_o03_o3_nounroll_m05_prefb_static_20260502-050337.bin
d100_o00_o3_m05_prefb_static	0.219246	2.295670	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o00_o3_m05_prefb_static_20260502-050337.log	dump_d100_o00_o3_m05_prefb_static_20260502-050337.bin
d100_o07_o3_notreecopy_m05_prefb_static	0.219293	2.295178	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o07_o3_notreecopy_m05_prefb_static_20260502-050337.log	dump_d100_o07_o3_notreecopy_m05_prefb_static_20260502-050337.bin
d100_o02_o3_unroll_m03_prefa	0.220142	2.286326	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o02_o3_unroll_m03_prefa_20260502-050337.log	dump_d100_o02_o3_unroll_m03_prefa_20260502-050337.bin
d100_o02_o3_unroll_m00_base	0.220300	2.284687	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d100_o02_o3_unroll_m00_base_20260502-050337.log	dump_d100_o02_o3_unroll_m00_base_20260502-050337.bin
