variant	wait_s	gops	valid	passes	harts	mask	width	height	channels	disparities	output_sum	slot_sum	ops	log	dump
s10_09_disp2_ofast	0.225329	2.233696	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_09_disp2_ofast_20260502-050724.log	dump_s10_09_disp2_ofast_20260502-050724.bin
s10_06_disp2_skipread_lastout	0.231244	2.176560	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_06_disp2_skipread_lastout_20260502-050724.log	dump_s10_06_disp2_skipread_lastout_20260502-050724.bin
s10_04_disp2_skipread	0.238036	2.114455	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_04_disp2_skipread_20260502-050724.log	dump_s10_04_disp2_skipread_20260502-050724.bin
s10_01_disp2	0.241470	2.084385	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_01_disp2_20260502-050724.log	dump_s10_01_disp2_20260502-050724.bin
s10_03_disp2_prefl	0.241475	2.084342	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_03_disp2_prefl_20260502-050724.log	dump_s10_03_disp2_prefl_20260502-050724.bin
s10_02_disp2_prefr	0.246690	2.040279	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_02_disp2_prefr_20260502-050724.log	dump_s10_02_disp2_prefr_20260502-050724.bin
s10_05_disp2_lastout	0.251560	2.000781	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_05_disp2_lastout_20260502-050724.log	dump_s10_05_disp2_lastout_20260502-050724.bin
s10_08_disp2_unroll	0.253717	1.983771	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_08_disp2_unroll_20260502-050724.log	dump_s10_08_disp2_unroll_20260502-050724.bin
s10_00_base	0.278809	1.805238	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_00_base_20260502-050724.log	dump_s10_00_base_20260502-050724.bin
s10_07_disp2_prefr_skipread	0.280406	1.794956	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s10_07_disp2_prefr_skipread_20260502-050724.log	dump_s10_07_disp2_prefr_skipread_20260502-050724.bin
