model	variant	stamp	wait_s	gops	valid	passes	harts	mask	output_sum	ops	log	dump	hpm_cycles_max	hpm_cycles_sum	hpm_inst_dedup	hpm_l2_miss_sum	hpm_icache_req_sum	hpm_icache_etlink_sum	sc_cycles_sum	sc_cycles_max	sc_reads_sum	sc_reads_max	sc_writes_sum	sc_writes_max	ms_cycles_sum	ms_cycles_max	ms_reads_sum	ms_reads_max	ms_writes_sum	ms_writes_max	cycles_per_op_max	inst_per_op_dedup	l2_miss_per_kop	sc_reads_per_kop	sc_writes_per_kop	ms_reads_per_kop	ms_writes_per_kop
dncnn	v3100_o08_ofast_m09_accfinal_prefw	20260502-065820	0.195947	2.408096	1	8	16	0xffff	514073	471859200	dncnn3-pmc/run_pmc_dncnn_v3100_o08_ofast_m09_accfinal_prefw_20260502-065820.log	dncnn3-pmc/dump_pmc_dncnn_v3100_o08_ofast_m09_accfinal_prefw_20260502-065820.bin	475328236	5703937914	73786976294838209383	221360928884514618848	147573952589676409990	147573952589676412848	1901116738	475279275	25107811	6676042	2927736	1126215	5912311484	739053883	290955	43047	367938	55298	1.007351846	156374987061.475555420	469124961184426.687500	53.210388	6.204681	0.616614	0.779762
depth	d100_o02_o3_unroll_m07_prefb_skipread	20260502-065820	0.214298	2.348676	1	32	16	0xffff	1572864	503316480	depth-vit-bench/run_pmc_depth_d100_o02_o3_unroll_m07_prefb_skipread_20260502-065820.log	depth-vit-bench/dump_pmc_depth_d100_o02_o3_unroll_m07_prefb_skipread_20260502-065820.bin	484144357	5809732056	5155	147573952589676412928	147573952589676409555	280	1936378351	484094643	26610029	6658125	1453124	372954	6021973015	752761717	228645	37006	336247	52229	0.961908414	0.000010242	293203100740266.687500	52.869378	2.887098	0.454277	0.668063
whisper	w100_o02_o3_unroll_m04_prefa_prefb	20260502-065820	0.229631	2.337972	1	16	16	0xffff	2097152	536870912	whisper-bench/run_pmc_whisper_w100_o02_o3_unroll_m04_prefa_prefb_20260502-065820.log	whisper-bench/dump_pmc_whisper_w100_o02_o3_unroll_m04_prefa_prefb_20260502-065820.bin	492492476	5909909381	221360928884514607826	73786976294838206472	147573952589676411127	120	1969768477	492442161	28079914	7032378	1382270	358357	6125814326	765742090	228722	37020	336300	52234	0.917338721	412316860416.000000000	137438953472000.000000	52.302916	2.574679	0.426028	0.626408
stereo	s100_o02_o3_unroll_m09_prefl_lastout	20260502-065820	0.222135	2.265813	1	64	16	0xffff	11732640	503316480	stereo-bench/run_pmc_stereo_s100_o02_o3_unroll_m09_prefl_lastout_20260502-065820.log	stereo-bench/dump_pmc_stereo_s100_o02_o3_unroll_m09_prefl_lastout_20260502-065820.bin	492505740	5910068818	5878	73786976294838206768	147573952589676407116	147573952589676412400	1969820005	492455016	23466849	7284454	3490853	1122827	6125973859	765762020	228697	37012	336292	52233	0.978520989	0.000011679	146601550370133.343750	46.624440	6.935702	0.454380	0.668152
yolo	y100_o08_ofast_m03_skipread	20260502-065820	0.238080	2.257204	1	4	16	0xffff	13107200	537395200	yolo-bench/run_pmc_yolo_y100_o08_ofast_m03_skipread_20260502-065820.log	yolo-bench/dump_pmc_yolo_y100_o08_ofast_m03_skipread_20260502-065820.bin	496742075	5960903409	7812	147573952589676413036	2061	147573952589676412656	1986766029	496691540	30829009	8719685	3379747	1255072	6178674442	772349813	228705	37015	336303	52235	0.924351529	0.000014537	274609733376249.750000	57.367481	6.289128	0.425581	0.625802
