variant	wait_s	gops	valid	passes	harts	mask	blocks	output_sum	slot_sum	ops	log	dump
y100_o08_ofast_m03_skipread	0.238041	2.257574	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m03_skipread_20260502-045531.log	dump_y100_o08_ofast_m03_skipread_20260502-045531.bin
y100_o08_ofast_m08_skipread_skipfinal	0.238575	2.252521	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m08_skipread_skipfinal_20260502-045531.log	dump_y100_o08_ofast_m08_skipread_skipfinal_20260502-045531.bin
y100_o08_ofast_m00_base	0.240033	2.238839	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m00_base_20260502-045531.log	dump_y100_o08_ofast_m00_base_20260502-045531.bin
y100_o08_ofast_m01_prefw	0.241284	2.227231	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m01_prefw_20260502-045531.log	dump_y100_o08_ofast_m01_prefw_20260502-045531.bin
y100_o08_ofast_m07_boundary_prefw	0.241367	2.226465	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m07_boundary_prefw_20260502-045531.log	dump_y100_o08_ofast_m07_boundary_prefw_20260502-045531.bin
y100_o08_ofast_m09_lastout_skipfinal	0.241744	2.222993	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m09_lastout_skipfinal_20260502-045531.log	dump_y100_o08_ofast_m09_lastout_skipfinal_20260502-045531.bin
y100_o08_ofast_m02_boundary	0.242823	2.213115	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m02_boundary_20260502-045531.log	dump_y100_o08_ofast_m02_boundary_20260502-045531.bin
y100_o08_ofast_m06_boundary_skipfinal	0.242873	2.212659	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m06_boundary_skipfinal_20260502-045531.log	dump_y100_o08_ofast_m06_boundary_skipfinal_20260502-045531.bin
y100_o02_o3_unroll_m00_base	0.242979	2.211694	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o02_o3_unroll_m00_base_20260502-045531.log	dump_y100_o02_o3_unroll_m00_base_20260502-045531.bin
y100_o08_ofast_m04_skipfinal	0.243067	2.210893	1	4	16	0xffff	4	13107200	13107200	537395200	run_y100_o08_ofast_m04_skipfinal_20260502-045531.log	dump_y100_o08_ofast_m04_skipfinal_20260502-045531.bin
